user_id,total_sleep_records,avg_nightly_sleep_hours,best_sleep_hours,worst_stress_score,peak_relax_score,heavy_stress_count,light_stress_count
8792009665,13,4.82,7.97,-1.7610350280873384,1.4197537221737928,2,0
2347167796,12,7.27,8.85,-1.7612403479753374,1.6692802113962044,1,1
5553957443,14,5.45,10.48,-1.8853796118102728,2.1378943870704794,1,0
5577150313,15,4.95,8.05,-1.5619317022751773,1.8791601081610847,1,1
6117666160,9,4.62,12.62,-1.8385403190720877,1.1797629114517603,1,1
4020332650,10,4.54,7.7,-1.4041689642772339,1.5532219264538247,0,2
6775888955,5,4.78,10.45,-1.4601858820415605,1.2718864356272537,0,1
6962181067,16,6.6,10.0,-0.800039017006222,3.3890273645389577,0,0
7007744171,3,1.08,1.43,-0.807418699424816,1.1185913559654355,0,0
